"Position","Name","Type","Signal","Label","CAN1_REMAP1","I2C1_REMAP1","USART1_REMAP1","SPI1_REMAP1","TIM3_REMAP1","TIM2_REMAP1","TIM2_REMAP3","CAN2_REMAP1","USART2_REMAP1","SPI3_REMAP1","USART3_REMAP1","I2S3_REMAP1","TIM1_REMAP1","CAN1_REMAP2","TIM3_REMAP2","TIM2_REMAP2","TIM1_REMAP2","USART3_REMAP2","TIM4_REMAP1"
"A1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","","","",""
"A2","PC13-TAMPER-RTC","I/O","","","","","","","","","","","","","","","","","","","","",""
"A3","PE2","I/O","","","","","","","","","","","","","","","","","","","","",""
"A4","PB9","I/O","","","CAN1_TX","I2C1_SDA","","","","","","","","","","","","","","","","",""
"A5","PB7","I/O","","","","","USART1_RX","","","","","","","","","","","","","","","",""
"A6","PB4","I/O","","","","","","SPI1_MISO","TIM3_CH1","","","","","","","","","","","","","",""
"A7","PB3","I/O","","","","","","SPI1_SCK","","TIM2_CH2","TIM2_CH2","","","","","","","","","","","",""
"A8","PA15","I/O","","","","","","SPI1_NSS","","TIM2_CH1/TIM2_ETR","TIM2_CH1/TIM2_ETR","","","","","","","","","","","",""
"A9","PA14","I/O","","","","","","","","","","","","","","","","","","","","",""
"A10","PA13","I/O","","","","","","","","","","","","","","","","","","","","",""
"B1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","","","",""
"B2","VBAT","Power","","","","","","","","","","","","","","","","","","","","",""
"B3","PE3","I/O","","","","","","","","","","","","","","","","","","","","",""
"B4","PB8","I/O","","","CAN1_RX","I2C1_SCL","","","","","","","","","","","","","","","","",""
"B5","PB6","I/O","","","","","USART1_TX","","","","","CAN2_TX","","","","","","","","","","",""
"B6","PD5","I/O","","","","","","","","","","","USART2_TX","","","","","","","","","",""
"B7","PD2","I/O","","","","","","","","","","","","","","","","","","","","",""
"B8","PC11","I/O","","","","","","","","","","","","SPI3_MISO","USART3_RX","","","","","","","",""
"B9","PC10","I/O","","","","","","","","","","","","SPI3_SCK","USART3_TX","I2S3_CK","","","","","","",""
"B10","PA12","I/O","","","","","","","","","","","","","","","TIM1_ETR","","","","","",""
"C1","OSC_IN","I/O","","","","","","","","","","","","","","","","","","","","",""
"C2","VSS","Power","","","","","","","","","","","","","","","","","","","","",""
"C3","PE4","I/O","","","","","","","","","","","","","","","","","","","","",""
"C4","PE1","I/O","","","","","","","","","","","","","","","","","","","","",""
"C5","PB5","I/O","","","","","","SPI1_MOSI","TIM3_CH2","","","CAN2_RX","","","","","","","","","","",""
"C6","PD6","I/O","","","","","","","","","","","USART2_RX","","","","","","","","","",""
"C7","PD3","I/O","","","","","","","","","","","USART2_CTS","","","","","","","","","",""
"C8","PC12","I/O","","","","","","","","","","","","SPI3_MOSI","USART3_CK","I2S3_SD","","","","","","",""
"C9","PA9","I/O","","","","","","","","","","","","","","","TIM1_CH2","","","","","",""
"C10","PA11","I/O","","","","","","","","","","","","","","","TIM1_CH4","","","","","",""
"D1","OSC_OUT","I/O","","","","","","","","","","","","","","","","","","","","",""
"D2","VDD","Power","","","","","","","","","","","","","","","","","","","","",""
"D3","PE5","I/O","","","","","","","","","","","","","","","","","","","","",""
"D4","PE0","I/O","","","","","","","","","","","","","","","","","","","","",""
"D5","BOOT0","Boot","","","","","","","","","","","","","","","","","","","","",""
"D6","PD7","I/O","","","","","","","","","","","USART2_CK","","","","","","","","","",""
"D7","PD4","I/O","","","","","","","","","","","USART2_RTS","","","","","","","","","",""
"D8","PD0","I/O","","","","","","","","","","","","","","","","CAN1_RX","","","","",""
"D9","PA8","I/O","","","","","","","","","","","","","","","TIM1_CH1","","","","","",""
"D10","PA10","I/O","","","","","","","","","","","","","","","TIM1_CH3","","","","","",""
"E1","NRST","Reset","","","","","","","","","","","","","","","","","","","","",""
"E2","PC2","I/O","","","","","","","","","","","","","","","","","","","","",""
"E3","PE6","I/O","","","","","","","","","","","","","","","","","","","","",""
"E4","VSS","Power","","","","","","","","","","","","","","","","","","","","",""
"E5","VSS","Power","","","","","","","","","","","","","","","","","","","","",""
"E6","VSS","Power","","","","","","","","","","","","","","","","","","","","",""
"E7","VSS","Power","","","","","","","","","","","","","","","","","","","","",""
"E8","PD1","I/O","","","","","","","","","","","","","","","","CAN1_TX","","","","",""
"E9","PC9","I/O","","","","","","","","","","","","","","","","","TIM3_CH4","","","",""
"E10","PC7","I/O","","","","","","","","","","","","","","","","","TIM3_CH2","","","",""
"F1","PC0","I/O","","","","","","","","","","","","","","","","","","","","",""
"F2","PC1","I/O","","","","","","","","","","","","","","","","","","","","",""
"F3","PC3","I/O","","","","","","","","","","","","","","","","","","","","",""
"F4","VDD","Power","","","","","","","","","","","","","","","","","","","","",""
"F5","VDD","Power","","","","","","","","","","","","","","","","","","","","",""
"F6","VDD","Power","","","","","","","","","","","","","","","","","","","","",""
"F7","VDD","Power","","","","","","","","","","","","","","","","","","","","",""
"F8","NC","NC","","","","","","","","","","","","","","","","","","","","",""
"F9","PC8","I/O","","","","","","","","","","","","","","","","","TIM3_CH3","","","",""
"F10","PC6","I/O","","","","","","","","","","","","","","","","","TIM3_CH1","","","",""
"G1","VSSA","Power","","","","","","","","","","","","","","","","","","","","",""
"G2","PA0-WKUP","I/O","","","","","","","","","","","","","","","","","","TIM2_CH1/TIM2_ETR","","",""
"G3","PA4","I/O","","","","","","","","","","","","SPI3_NSS","","I2S3_WS","","","","","","",""
"G4","PC4","I/O","","","","","","","","","","","","","","","","","","","","",""
"G5","PB2","I/O","","","","","","","","","","","","","","","","","","","","",""
"G6","PE10","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH2N","",""
"G7","PE14","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH4","",""
"G8","PB15","I/O","","","","","","","","","","","","","","","","","","","","",""
"G9","PD11","I/O","","","","","","","","","","","","","","","","","","","","USART3_CTS",""
"G10","PD15","I/O","","","","","","","","","","","","","","","","","","","","","TIM4_CH4"
"H1","VREF-","Power","","","","","","","","","","","","","","","","","","","","",""
"H2","PA1","I/O","","","","","","","","","","","","","","","","","","TIM2_CH2","","",""
"H3","PA5","I/O","","","","","","","","","","","","","","","","","","","","",""
"H4","PC5","I/O","","","","","","","","","","","","","","","","","","","","",""
"H5","PE7","I/O","","","","","","","","","","","","","","","","","","","TIM1_ETR","",""
"H6","PE11","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH2","",""
"H7","PE15","I/O","","","","","","","","","","","","","","","","","","","TIM1_BKIN","",""
"H8","PB14","I/O","","","","","","","","","","","","","USART3_RTS","","","","","","","",""
"H9","PD10","I/O","","","","","","","","","","","","","","","","","","","","USART3_CK",""
"H10","PD14","I/O","","","","","","","","","","","","","","","","","","","","","TIM4_CH3"
"J1","VREF+","Power","","","","","","","","","","","","","","","","","","","","",""
"J2","PA2","I/O","","","","","","","","TIM2_CH3","","","","","","","","","","","","",""
"J3","PA6","I/O","","","","","","","","","","","","","","","TIM1_BKIN","","","","","",""
"J4","PB0","I/O","","","","","","","TIM3_CH3","","","","","","","","TIM1_CH2N","","","","","",""
"J5","PE8","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH1N","",""
"J6","PE12","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH3N","",""
"J7","PB10","I/O","","","","","","","","","TIM2_CH3","","","","","","","","","TIM2_CH3","","",""
"J8","PB13","I/O","","","","","","","","","","","","","USART3_CTS","","","","","","","",""
"J9","PD9","I/O","","","","","","","","","","","","","","","","","","","","USART3_RX",""
"J10","PD13","I/O","","","","","","","","","","","","","","","","","","","","","TIM4_CH2"
"K1","VDDA","Power","","","","","","","","","","","","","","","","","","","","",""
"K2","PA3","I/O","","","","","","","","TIM2_CH4","","","","","","","","","","","","",""
"K3","PA7","I/O","","","","","","","","","","","","","","","TIM1_CH1N","","","","","",""
"K4","PB1","I/O","","","","","","","TIM3_CH4","","","","","","","","TIM1_CH3N","","","","","",""
"K5","PE9","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH1","",""
"K6","PE13","I/O","","","","","","","","","","","","","","","","","","","TIM1_CH3","",""
"K7","PB11","I/O","","","","","","","","","TIM2_CH4","","","","","","","","","TIM2_CH4","","",""
"K8","PB12","I/O","","","","","","","","","","","","","","","","","","","","",""
"K9","PD8","I/O","","","","","","","","","","","","","","","","","","","","USART3_TX",""
"K10","PD12","I/O","","","","","","","","","","","","","","","","","","","","USART3_RTS","TIM4_CH1"
